country,date,new_deaths,new_deaths_smooth,total_deaths,traffic_retail,traffic_supermarket,traffic_parks,traffic_transit_stations,traffic_workplaces,traffic_residential,traffic_retail_smooth,traffic_supermarket_smooth,traffic_parks_smooth,traffic_transit_stations_smooth,traffic_workplaces_smooth,traffic_residential_smooth
Germany,2020-02-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-04,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2020-02-15,0.0,0,0.0,0.06,0.01,0.45,0.1,0.0,-0.01,0.01,0.0,0.06,0.01,0.0,-0.0
Germany,2020-02-16,0.0,0,0.0,0.07,0.1,0.09,0.06,-0.01,0.0,0.02,0.02,0.08,0.02,-0.0,-0.0
Germany,2020-02-17,0.0,0,0.0,0.02,0.02,0.07,0.01,-0.02,0.0,0.02,0.02,0.09,0.02,-0.0,-0.0
Germany,2020-02-18,0.0,0,0.0,0.02,0.02,0.1,0.01,-0.01,0.01,0.02,0.02,0.1,0.03,-0.01,0.0
Germany,2020-02-19,0.0,0,0.0,0.03,0.0,0.06,-0.01,-0.01,0.01,0.03,0.02,0.11,0.02,-0.01,0.0
Germany,2020-02-20,0.0,0,0.0,0.02,-0.01,0.14,0.03,-0.04,0.01,0.03,0.02,0.13,0.03,-0.01,0.0
Germany,2020-02-21,0.0,0,0.0,0.02,0.02,0.15,-0.01,-0.08,0.02,0.03,0.02,0.15,0.03,-0.02,0.01
Germany,2020-02-22,0.0,0,0.0,-0.01,-0.02,0.26,0.09,-0.03,0.0,0.02,0.02,0.12,0.03,-0.03,0.01
Germany,2020-02-23,0.0,0,0.0,0.0,0.09,-0.24,0.02,-0.03,0.0,0.01,0.02,0.08,0.02,-0.03,0.01
